Local authority,Library name,Event date,Name,Main outcome,Secondary outcome,Attendees,Adult Attendees,Child Attendees,Charge
Barnet,Burnt Oak,2019-04-01,Coffee morning/Afternoon tea,Healthier and happier lives,Stronger more resilient communities,12,12,0,0.0
Barnet,Burnt Oak,2019-04-01,Conversation Café/Language Session,Healthier and happier lives,Stronger more resilient communities,5,5,0,0.0
Barnet,Chipping Barnet,2019-04-01,Creative Play,Cultural and creative enrichment,Stronger more resilient communities,38,18,20,5.5
Barnet,Chipping Barnet,2019-04-01,Baby Bounce and Play,Healthier and happier lives,Stronger more resilient communities,46,23,23,3.5
Barnet,East Finchley,2019-04-01,Reading Group Adult,Healthier and happier lives,Stronger more resilient communities,4,4,0,0.0
Barnet,East Finchley,2019-04-01,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,30,14,16,0.0
Barnet,East Finchley,2019-04-01,Reading Group Adult,Healthier and happier lives,Stronger more resilient communities,4,4,0,0.0
Barnet,East Finchley,2019-04-01,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,30,14,16,0.0
Barnet,East Finchley,2019-04-01,Baby Rhyme Time,Healthier and happier lives,Stronger more resilient communities,14,7,7,0.0
Barnet,East Finchley,2019-04-01,Baby Rhyme Time,Healthier and happier lives,Stronger more resilient communities,14,7,7,0.0
Barnet,Edgware,2019-04-01,Baby Rhyme Time,Healthier and happier lives,Stronger more resilient communities,26,12,14,0.0
Barnet,Finchley Church End,2019-04-01,IT,Increased digital access and literacy,Stronger more resilient communities,2,2,0,0.0
Barnet,Burnt Oak,2019-04-02,Reading Group Adult,Healthier and happier lives,Stronger more resilient communities,10,10,0,0.0
Barnet,Childs Hill,2019-04-02,Knit & Natter/Crafts/Sewing,Healthier and happier lives,,2,2,0,0.0
Barnet,Childs Hill,2019-04-02,Other Child 5+ - Gardening for children,Healthier and happier lives,Stronger more resilient communities,18,6,12,0.0
Barnet,Childs Hill,2019-04-02,IT,Increased digital access and literacy,Stronger more resilient communities,6,6,0,0.0
Barnet,Chipping Barnet,2019-04-02,Baby Rhyme Time,Healthier and happier lives,Stronger more resilient communities,19,9,10,0.0
Barnet,Colindale,2019-04-02,IT,Increased digital access and literacy,Stronger more resilient communities,6,6,0,0.0
Barnet,Colindale,2019-04-02,Conversation Café/Language Session,Healthier and happier lives,Stronger more resilient communities,5,5,0,0.0
Barnet,Colindale,2019-04-02,Other adult - Age UK: Gentle Exercise for 55+,Healthier and happier lives,Stronger more resilient communities,8,8,0,0.0
Barnet,Colindale,2019-04-02,IT,Increased digital access and literacy,Stronger more resilient communities,6,6,0,0.0
Barnet,Colindale,2019-04-02,Baby Rhyme Time,Healthier and happier lives,Stronger more resilient communities,26,13,13,0.0
Barnet,East Barnet,2019-04-02,Baby Rhyme Time,Healthier and happier lives,Stronger more resilient communities,32,16,16,0.0
Barnet,East Barnet,2019-04-02,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,28,14,14,0.0
Barnet,Finchley Church End,2019-04-02,Baby Bounce and Play,Healthier and happier lives,Stronger more resilient communities,22,11,11,3.5
Barnet,Finchley Church End,2019-04-02,Toddler Time,Helping everyone achieve their full potential,Increased reading and literacy,35,18,17,3.5
Barnet,Hendon,2019-04-02,Conversation Café/Language Session,Healthier and happier lives,Stronger more resilient communities,8,8,0,0.0
Barnet,Hendon,2019-04-02,IT,Increased digital access and literacy,Stronger more resilient communities,5,5,0,0.0
Barnet,Osidge,2019-04-02,Reading Group Adult,Healthier and happier lives,Stronger more resilient communities,4,4,0,0.0
Barnet,Osidge,2019-04-02,Class Visits Primary,Increased reading and literacy,Stronger more resilient communities,33,3,30,0.0
Barnet,Burnt Oak,2019-04-03,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,19,9,10,0.0
Barnet,Childs Hill,2019-04-03,Baby Rhyme Time,Healthier and happier lives,Stronger more resilient communities,2,1,1,0.0
Barnet,Childs Hill,2019-04-03,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,12,6,6,0.0
Barnet,Childs Hill,2019-04-03,Lego,Healthier and happier lives,,20,10,10,0.0
Barnet,Chipping Barnet,2019-04-03,Reading Group Adult,Healthier and happier lives,Stronger more resilient communities,7,7,0,0.0
Barnet,Colindale,2019-04-03,Other adult - Over 55s Gentle Tai Chi Class,Healthier and happier lives,Stronger more resilient communities,3,3,0,0.0
Barnet,Colindale,2019-04-03,Baby Bounce and Play,Healthier and happier lives,Stronger more resilient communities,21,11,10,3.5
Barnet,Colindale,2019-04-03,Toddler Time,Helping everyone achieve their full potential,Increased reading and literacy,23,10,13,3.5
Barnet,Colindale,2019-04-03,IT,Increased digital access and literacy,Stronger more resilient communities,7,7,0,0.0
Barnet,East Barnet,2019-04-03,Baby Rhyme Time,Healthier and happier lives,Stronger more resilient communities,16,8,8,0.0
Barnet,Hendon,2019-04-03,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,16,7,9,0.0
Barnet,Mill Hill,2019-04-03,Conversation Café/Language Session,Healthier and happier lives,Stronger more resilient communities,5,5,0,0.0
Barnet,Mill Hill,2019-04-03,Baby Rhyme Time,Healthier and happier lives,Stronger more resilient communities,16,8,8,0.0
Barnet,Osidge,2019-04-03,IT,Increased digital access and literacy,Stronger more resilient communities,1,1,0,0.0
Barnet,Osidge,2019-04-03,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,19,10,9,0.0
Barnet,South Friern,2019-04-03,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,26,13,13,0.0
Barnet,South Friern,2019-04-03,Baby Rhyme Time,Healthier and happier lives,Stronger more resilient communities,12,6,6,0.0
Barnet,Childs Hill,2019-04-04,Conversation Café/Language Session,Healthier and happier lives,Stronger more resilient communities,2,2,0,0.0
Barnet,Childs Hill,2019-04-04,Reading Group Adult,Healthier and happier lives,Stronger more resilient communities,4,4,0,0.0
Barnet,Colindale,2019-04-04,Reading Group Adult,Healthier and happier lives,Stronger more resilient communities,9,9,0,0.0
Barnet,Colindale,2019-04-04,Reading Group Adult,Healthier and happier lives,Stronger more resilient communities,10,10,0,0.0
Barnet,Colindale,2019-04-04,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,29,14,15,0.0
