Local authority,Library name,Count date,Type,Items
Barnet,Barnet Book Club,2020-12-01,Adult fiction,2
Barnet,Barnet Book Club,2020-12-01,Adult non fiction,1
Barnet,Barnet Book Club,2020-12-01,Adult reference,1
Barnet,Barnet Book Club,2020-12-01,Barnet Book Club,2306
Barnet,Barnet Book Club,2020-12-01,Large print adult fiction,1
Barnet,Barnet Book Club,2020-12-01,Teenage fiction,1
Barnet,Bibliographic Services,2020-12-01,Adult audiobook,12
Barnet,Bibliographic Services,2020-12-01,Adult fiction,38
Barnet,Bibliographic Services,2020-12-01,Adult non fiction,187
Barnet,Bibliographic Services,2020-12-01,Adult reference,19
Barnet,Bibliographic Services,2020-12-01,British library ILL,8
Barnet,Bibliographic Services,2020-12-01,Children's fiction,42
Barnet,Bibliographic Services,2020-12-01,Children's non fiction,38
Barnet,Bibliographic Services,2020-12-01,Children's reference,5
Barnet,Bibliographic Services,2020-12-01,Compact disc,8
Barnet,Bibliographic Services,2020-12-01,DVD certificate 12,6
Barnet,Bibliographic Services,2020-12-01,DVD certificate 15,13
Barnet,Bibliographic Services,2020-12-01,DVD certificate 18+,4
Barnet,Bibliographic Services,2020-12-01,DVD certificate exempt,3
Barnet,Bibliographic Services,2020-12-01,DVD certificate PG,6
Barnet,Bibliographic Services,2020-12-01,DVD certificate U,17
Barnet,Bibliographic Services,2020-12-01,Large print adult fiction,18
Barnet,Bibliographic Services,2020-12-01,Large print adult non fiction,3
Barnet,Bibliographic Services,2020-12-01,Music score,1
Barnet,Bibliographic Services,2020-12-01,Playset,1
Barnet,Bibliographic Services,2020-12-01,SLS Fiction,1
Barnet,Bibliographic Services,2020-12-01,Teenage fiction,4
Barnet,Bibliographic Services,2020-12-01,Teenage non fiction,3
Barnet,Bibliographic Services,2020-12-01,Vocal score sets,1
Barnet,Burnt Oak,2020-12-01,Adult audiobook,230
Barnet,Burnt Oak,2020-12-01,Adult fiction,3034
Barnet,Burnt Oak,2020-12-01,Adult non fiction,2782
Barnet,Burnt Oak,2020-12-01,Adult reference,375
Barnet,Burnt Oak,2020-12-01,Barnet Book Club,6
Barnet,Burnt Oak,2020-12-01,Children's audiobook,2
Barnet,Burnt Oak,2020-12-01,Children's fiction,4190
Barnet,Burnt Oak,2020-12-01,Children's non fiction,1231
Barnet,Burnt Oak,2020-12-01,Children's reference,59
Barnet,Burnt Oak,2020-12-01,Compact disc,44
Barnet,Burnt Oak,2020-12-01,DVD certificate 12,156
Barnet,Burnt Oak,2020-12-01,DVD certificate 15,138
Barnet,Burnt Oak,2020-12-01,DVD certificate 18+,24
Barnet,Burnt Oak,2020-12-01,DVD certificate exempt,7
Barnet,Burnt Oak,2020-12-01,DVD certificate PG,63
Barnet,Burnt Oak,2020-12-01,DVD certificate U,278
Barnet,Burnt Oak,2020-12-01,Electronic devices,10
Barnet,Burnt Oak,2020-12-01,Language learning,7
Barnet,Burnt Oak,2020-12-01,Large print adult fiction,212
Barnet,Burnt Oak,2020-12-01,Large print adult non fiction,21
Barnet,Burnt Oak,2020-12-01,Reference,6
Barnet,Burnt Oak,2020-12-01,Teenage fiction,645
Barnet,Burnt Oak,2020-12-01,Teenage non fiction,375
Barnet,Childs Hill,2020-12-01,Adult audiobook,308
Barnet,Childs Hill,2020-12-01,Adult fiction,2618
Barnet,Childs Hill,2020-12-01,Adult non fiction,2244
Barnet,Childs Hill,2020-12-01,Adult reference,249
Barnet,Childs Hill,2020-12-01,Barnet Book Club,2
Barnet,Childs Hill,2020-12-01,Children's audiobook,5
Barnet,Childs Hill,2020-12-01,Children's fiction,4439
Barnet,Childs Hill,2020-12-01,Children's non fiction,730
Barnet,Childs Hill,2020-12-01,Children's reference,40
Barnet,Childs Hill,2020-12-01,Compact disc,54
Barnet,Childs Hill,2020-12-01,DVD certificate 12,91
Barnet,Childs Hill,2020-12-01,DVD certificate 15,66
Barnet,Childs Hill,2020-12-01,DVD certificate 18+,8
Barnet,Childs Hill,2020-12-01,DVD certificate exempt,4
Barnet,Childs Hill,2020-12-01,DVD certificate PG,40
Barnet,Childs Hill,2020-12-01,DVD certificate U,125
Barnet,Childs Hill,2020-12-01,Electronic devices,10
Barnet,Childs Hill,2020-12-01,Language learning,5
Barnet,Childs Hill,2020-12-01,Large print adult fiction,376
Barnet,Childs Hill,2020-12-01,Large print adult non fiction,28
Barnet,Childs Hill,2020-12-01,Playset,4
Barnet,Childs Hill,2020-12-01,Reference,6
Barnet,Childs Hill,2020-12-01,Teenage fiction,587
Barnet,Childs Hill,2020-12-01,Teenage non fiction,169
Barnet,Chipping Barnet,2020-12-01,Adult audiobook,570
Barnet,Chipping Barnet,2020-12-01,Adult fiction,10985
Barnet,Chipping Barnet,2020-12-01,Adult non fiction,14336
Barnet,Chipping Barnet,2020-12-01,Adult reference,1495
Barnet,Chipping Barnet,2020-12-01,Barnet Book Club,3
Barnet,Chipping Barnet,2020-12-01,British library ILL,1
Barnet,Chipping Barnet,2020-12-01,Children's audiobook,91
Barnet,Chipping Barnet,2020-12-01,Children's fiction,11104
Barnet,Chipping Barnet,2020-12-01,Children's non fiction,3591
