Local authority,Library name,Month,Type,Loans
Barnet,Barnet Book Club,2019-04,Adult audiobook,1
Barnet,Barnet Book Club,2019-04,Adult fiction,12
Barnet,Barnet Book Club,2019-04,Adult non fiction,19
Barnet,Barnet Book Club,2019-04,Barnet Book Club,238
Barnet,Barnet Book Club,2019-04,Children's fiction,12
Barnet,Barnet Book Club,2019-04,Children's non fiction,2
Barnet,Barnet Book Club,2019-04,Teenage fiction,1
Barnet,Barnet Book Club,2019-04,Teenage non fiction,4
Barnet,Bibliographic Services,2019-04,Adult fiction,56
Barnet,Bibliographic Services,2019-04,Adult non fiction,47
Barnet,Bibliographic Services,2019-04,Children's fiction,32
Barnet,Bibliographic Services,2019-04,DVD certificate 12,1
Barnet,Bibliographic Services,2019-04,DVD certificate 15,1
Barnet,Bibliographic Services,2019-04,DVD certificate U,1
Barnet,Bibliographic Services,2019-04,Teenage fiction,8
Barnet,Burnt Oak,2019-04,Adult audiobook,18
Barnet,Burnt Oak,2019-04,Adult fiction,427
Barnet,Burnt Oak,2019-04,Adult non fiction,356
Barnet,Burnt Oak,2019-04,Children's fiction,1169
Barnet,Burnt Oak,2019-04,Children's non fiction,132
Barnet,Burnt Oak,2019-04,Compact disc,4
Barnet,Burnt Oak,2019-04,DVD certificate 12,4
Barnet,Burnt Oak,2019-04,DVD certificate 15,1
Barnet,Burnt Oak,2019-04,DVD certificate 18+,1
Barnet,Burnt Oak,2019-04,DVD certificate U,2
Barnet,Burnt Oak,2019-04,Language learning,3
Barnet,Burnt Oak,2019-04,Large print adult fiction,9
Barnet,Burnt Oak,2019-04,Large print adult non fiction,1
Barnet,Burnt Oak,2019-04,Teenage fiction,98
Barnet,Burnt Oak,2019-04,Teenage non fiction,72
Barnet,Childs Hill,2019-04,Adult audiobook,8
Barnet,Childs Hill,2019-04,Adult fiction,276
Barnet,Childs Hill,2019-04,Adult non fiction,241
Barnet,Childs Hill,2019-04,Barnet Book Club,1
Barnet,Childs Hill,2019-04,Children's fiction,625
Barnet,Childs Hill,2019-04,Children's non fiction,43
Barnet,Childs Hill,2019-04,Compact disc,6
Barnet,Childs Hill,2019-04,DVD certificate 12,2
Barnet,Childs Hill,2019-04,DVD certificate U,11
Barnet,Childs Hill,2019-04,Language learning,5
Barnet,Childs Hill,2019-04,Large print adult fiction,14
Barnet,Childs Hill,2019-04,Large print adult non fiction,2
Barnet,Childs Hill,2019-04,Playset,24
Barnet,Childs Hill,2019-04,Teenage fiction,19
Barnet,Childs Hill,2019-04,Teenage non fiction,6
Barnet,Chipping Barnet,2019-04,Adult audiobook,151
Barnet,Chipping Barnet,2019-04,Adult fiction,3404
Barnet,Chipping Barnet,2019-04,Adult non fiction,2154
Barnet,Chipping Barnet,2019-04,Barnet Book Club,56
Barnet,Chipping Barnet,2019-04,British library ILL,1
Barnet,Chipping Barnet,2019-04,Children's audiobook,20
Barnet,Chipping Barnet,2019-04,Children's fiction,5060
Barnet,Chipping Barnet,2019-04,Children's non fiction,660
Barnet,Chipping Barnet,2019-04,Compact disc,241
Barnet,Chipping Barnet,2019-04,DVD certificate 12,47
Barnet,Chipping Barnet,2019-04,DVD certificate 15,43
Barnet,Chipping Barnet,2019-04,DVD certificate 18+,5
Barnet,Chipping Barnet,2019-04,DVD certificate PG,5
Barnet,Chipping Barnet,2019-04,DVD certificate U,28
Barnet,Chipping Barnet,2019-04,DVD certificate exempt,3
Barnet,Chipping Barnet,2019-04,Electronic devices,3
Barnet,Chipping Barnet,2019-04,Language learning,4
Barnet,Chipping Barnet,2019-04,Large print adult fiction,103
Barnet,Chipping Barnet,2019-04,Large print adult non fiction,12
Barnet,Chipping Barnet,2019-04,Music score,12
Barnet,Chipping Barnet,2019-04,Teenage fiction,446
Barnet,Chipping Barnet,2019-04,Teenage non fiction,192
Barnet,Colindale,2019-04,Adult audiobook,3
Barnet,Colindale,2019-04,Adult fiction,555
Barnet,Colindale,2019-04,Adult non fiction,561
Barnet,Colindale,2019-04,Children's fiction,2105
Barnet,Colindale,2019-04,Children's non fiction,327
Barnet,Colindale,2019-04,Compact disc,5
Barnet,Colindale,2019-04,DVD certificate 12,5
Barnet,Colindale,2019-04,DVD certificate 15,5
Barnet,Colindale,2019-04,DVD certificate U,8
Barnet,Colindale,2019-04,Large print adult fiction,7
Barnet,Colindale,2019-04,Large print adult non fiction,1
Barnet,Colindale,2019-04,Music score,6
Barnet,Colindale,2019-04,Teenage fiction,98
Barnet,Colindale,2019-04,Teenage non fiction,38
Barnet,Customer Services Organisation,2019-04,Adult audiobook,14
Barnet,Customer Services Organisation,2019-04,Adult fiction,301
Barnet,Customer Services Organisation,2019-04,Adult non fiction,309
Barnet,Customer Services Organisation,2019-04,Children's fiction,403
Barnet,Customer Services Organisation,2019-04,Children's non fiction,55
Barnet,Customer Services Organisation,2019-04,Compact disc,3
Barnet,Customer Services Organisation,2019-04,Language learning,1
Barnet,Customer Services Organisation,2019-04,Large print adult fiction,4
Barnet,Customer Services Organisation,2019-04,Large print adult non fiction,1
Barnet,Customer Services Organisation,2019-04,Music score,2
Barnet,Customer Services Organisation,2019-04,Teenage fiction,24
Barnet,Customer Services Organisation,2019-04,Teenage non fiction,2
Barnet,East Finchley,2019-04,Adult audiobook,33
Barnet,East Finchley,2019-04,Adult fiction,781
Barnet,East Finchley,2019-04,Adult non fiction,680
Barnet,East Finchley,2019-04,Barnet Book Club,13
Barnet,East Finchley,2019-04,Children's fiction,2005
Barnet,East Finchley,2019-04,Children's non fiction,308
Barnet,East Finchley,2019-04,Compact disc,80
Barnet,East Finchley,2019-04,DVD certificate 12,13
Barnet,East Finchley,2019-04,DVD certificate 15,6
Barnet,East Finchley,2019-04,DVD certificate 18+,1
Barnet,East Finchley,2019-04,DVD certificate PG,3
Barnet,East Finchley,2019-04,DVD certificate U,11
Barnet,East Finchley,2019-04,Electronic devices,1
Barnet,East Finchley,2019-04,Large print adult fiction,19
Barnet,East Finchley,2019-04,Large print adult non fiction,1
Barnet,East Finchley,2019-04,Music score,3
Barnet,East Finchley,2019-04,Teenage fiction,93
Barnet,East Finchley,2019-04,Teenage non fiction,147
Barnet,Edgware,2019-04,Adult audiobook,40
Barnet,Edgware,2019-04,Adult fiction,2107
Barnet,Edgware,2019-04,Adult non fiction,1484
Barnet,Edgware,2019-04,Children's fiction,3818
Barnet,Edgware,2019-04,Children's non fiction,447
Barnet,Edgware,2019-04,Compact disc,16
Barnet,Edgware,2019-04,DVD certificate 12,15
Barnet,Edgware,2019-04,DVD certificate 15,7
Barnet,Edgware,2019-04,DVD certificate 18+,2
Barnet,Edgware,2019-04,DVD certificate PG,1
Barnet,Edgware,2019-04,DVD certificate U,33
Barnet,Edgware,2019-04,DVD certificate exempt,1
Barnet,Edgware,2019-04,Electronic devices,2
Barnet,Edgware,2019-04,Language learning,5
Barnet,Edgware,2019-04,Large print adult fiction,51
Barnet,Edgware,2019-04,Large print adult non fiction,1
Barnet,Edgware,2019-04,Large print children's fiction,4
Barnet,Edgware,2019-04,Music score,18
Barnet,Edgware,2019-04,Playset,20
Barnet,Edgware,2019-04,Teenage fiction,373
Barnet,Edgware,2019-04,Teenage non fiction,119
Barnet,Edgware,2019-04,Vocal score sets,30
Barnet,Finchley Church End,2019-04,Adult audiobook,51
Barnet,Finchley Church End,2019-04,Adult fiction,2381
Barnet,Finchley Church End,2019-04,Adult non fiction,1755
Barnet,Finchley Church End,2019-04,Children's fiction,4047
Barnet,Finchley Church End,2019-04,Children's non fiction,481
Barnet,Finchley Church End,2019-04,Compact disc,9
Barnet,Finchley Church End,2019-04,DVD certificate 12,18
Barnet,Finchley Church End,2019-04,DVD certificate 15,5
Barnet,Finchley Church End,2019-04,DVD certificate 18+,2
Barnet,Finchley Church End,2019-04,DVD certificate PG,7
Barnet,Finchley Church End,2019-04,DVD certificate U,21
Barnet,Finchley Church End,2019-04,Electronic devices,2
Barnet,Finchley Church End,2019-04,Language learning,8
Barnet,Finchley Church End,2019-04,Large print adult fiction,77
Barnet,Finchley Church End,2019-04,Large print adult non fiction,8
Barnet,Finchley Church End,2019-04,Large print children's fiction,3
Barnet,Finchley Church End,2019-04,Music score,21
Barnet,Finchley Church End,2019-04,Playset,18
Barnet,Finchley Church End,2019-04,Teenage fiction,366
Barnet,Finchley Church End,2019-04,Teenage non fiction,103
Barnet,Golders Green,2019-04,Adult audiobook,18
Barnet,Golders Green,2019-04,Adult fiction,1199
Barnet,Golders Green,2019-04,Adult non fiction,699
Barnet,Golders Green,2019-04,Barnet Book Club,17
Barnet,Golders Green,2019-04,Children's audiobook,4
Barnet,Golders Green,2019-04,Children's fiction,2924
Barnet,Golders Green,2019-04,Children's non fiction,171
Barnet,Golders Green,2019-04,Compact disc,5
Barnet,Golders Green,2019-04,DVD certificate 12,12
Barnet,Golders Green,2019-04,DVD certificate 15,6
Barnet,Golders Green,2019-04,DVD certificate PG,2
Barnet,Golders Green,2019-04,DVD certificate U,10
Barnet,Golders Green,2019-04,DVD certificate exempt,2
Barnet,Golders Green,2019-04,Electronic devices,1
Barnet,Golders Green,2019-04,Language learning,3
Barnet,Golders Green,2019-04,Large print adult fiction,48
Barnet,Golders Green,2019-04,Large print adult non fiction,1
Barnet,Golders Green,2019-04,Music score,1
Barnet,Golders Green,2019-04,Teenage fiction,255
Barnet,Golders Green,2019-04,Teenage non fiction,45
Barnet,Hendon,2019-04,Adult audiobook,20
Barnet,Hendon,2019-04,Adult fiction,1266
Barnet,Hendon,2019-04,Adult non fiction,807
Barnet,Hendon,2019-04,Children's fiction,2306
Barnet,Hendon,2019-04,Children's non fiction,234
Barnet,Hendon,2019-04,DVD certificate 12,12
Barnet,Hendon,2019-04,DVD certificate 15,7
Barnet,Hendon,2019-04,DVD certificate 18+,2
Barnet,Hendon,2019-04,DVD certificate PG,2
Barnet,Hendon,2019-04,DVD certificate U,8
Barnet,Hendon,2019-04,Electronic devices,1
Barnet,Hendon,2019-04,Language learning,2
Barnet,Hendon,2019-04,Large print adult fiction,7
Barnet,Hendon,2019-04,Large print adult non fiction,2
Barnet,Hendon,2019-04,Large print children's fiction,2
Barnet,Hendon,2019-04,Music score,2
Barnet,Hendon,2019-04,Teenage fiction,149
Barnet,Hendon,2019-04,Teenage non fiction,64
